State,Fruit,Seasonality
Alabama,Lima Beans," July, August, September, October, November"
Alabama,Loquats, April
Alabama,Mandarins," October, November, December"
Alabama,Melons," June, July, August, September"
Alabama,Mint," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Mushrooms," March, April, May, June, July, August, September, October, November"
Alabama,Mustard Greens," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Nectarines," May, June, July, August, September, October, November, December"
Alabama,Nettles," March, April"
Alabama,Okra," June, July, August, September, October"
Alabama,Onions," April, May, June, July, August, September, October, November"
Alabama,Oranges," October, November, December"
Alabama,Oregano," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Parsley," January, February, March, November, December"
Alabama,Parsnips," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Pawpaw," August, September"
Alabama,Pea Shoots," March, April, May"
Alabama,Peaches," May, June, July, August, September"
Alabama,Pears," August, September, October, November"
Alabama,Peas," April, May, June, July, August, September, October"
Alabama,Pecans," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Peppers," June, July, August, September, October"
Alabama,Persimmons," September, October, November, December"
Alabama,Plums," July, August"
Alabama,Potatoes," May, June, July, August"
Alabama,Pummelo," October, November, December"
Alabama,Pumpkin," September, October, November"
Alabama,Purslane," April, May, June, July, August, September, October"
Alabama,Quince, November
Alabama,Radicchio," January, February, September, October, November, December"
Alabama,Radishes," March, April, May, June"
Alabama,Rapini," January, February, March, April"
Alabama,Raspberries," June, July, August, September"
Alabama,Rhubarb," February, March, April, May"
Alabama,Rosemary," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Rutabaga," September, October, November, December"
Alabama,Sage," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Shallots," February, March, June, July"
Alabama,Shell Beans," July, August, September, October, November"
Alabama,Snap Peas," April, May, June, July"
Alabama,Snow Peas," April, May, June, July"
Alabama,Sorrel," April, May, June, July"
Alabama,Spinach," April, May, June, July"
Alabama,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Strawberries," March, April, May, June, July"
Alabama,Summer Squash," April, May, June, July, August, September"
Alabama,Sunchokes," January, February, May, June, July"
Alabama,Sweet Potatoes," July, August, September, October, November"
Alabama,Tangerines," October, November, December"
Alabama,Tarragon," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Thyme," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Tomatillos," June, July, August, September, October"
Alabama,Tomatoes," June, July, August, September, October"
Alabama,Turnips," January, February, March, April"
Alabama,Watercress," April, May, June, July"
Alabama,Watermelon," June, July, August, September"
Alabama,Winter Squash," August, September, October, November, December"
Alabama,Yams," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Zucchini," April, May, June, July, August, September"
Alaska,Apples," July, August, September"
Alaska,Apricots," July, August"
Alaska,Arugula," May, June, July, August, September, October"
Alaska,Asian Pears," August, September"
Alaska,Asparagus," May, June"
Alaska,Basil," June, July, August, September, October"
Alaska,Beets," July, August, September, October, November"
Alaska,Blackberries," July, August"
Alaska,Blueberries," July, August, September"
Alaska,Bok Choy," July, August, September, October, November"
Alaska,Brambles," July, August"
Alaska,Broccoli," June, July, August, September"
Alaska,Brussels Sprouts," August, September, October, November"
Alaska,Cabbage," July, August, September, October, November"
Alaska,Cantaloupe," July, August, September"
Alaska,Carrots," August, September, October, November"
Alaska,Cauliflower," July, August, September"
Alaska,Celery," August, September"
Alaska,Celery Root," August, September"
Alaska,Chard," June, July, August, September, October"
Alaska,Cherries," June, July"
Alaska,Chicories," January, February, March, April, October, November, December"
Alaska,Chili Peppers," June, July, August"
Alaska,Chives," April, May, June, July, August, September"
Alaska,Collard Greens," June, July, August, September, October, November"
Alaska,Corn," August, September"
Alaska,Cucumbers," June, July, August, September, October"
Alaska,Currants," July, August, September"
Alaska,Eggplant," July, August, September"
Alaska,Endive," January, February, March, April, October, November, December"
Alaska,Garlic," August, September, October, November, December"
Alaska,Grapes," July, August"
Alaska,Green Beans," July, August, September"
Alaska,Green Onions," June, July, August, September"
Alaska,Ground Cherries," July, August, September"
Alaska,Kale," June, July, August, September, October, November"
Alaska,Lamb's Quarters," June, July, August, September"
Alaska,Leeks," September, October, November"
Alaska,Lettuce," May, June, July, August, September, October"
Alaska,Lima Beans," July, August, September"
Alaska,Mushrooms," January, February, March, April, May, June, July, August, September, October, November, December"
Alaska,Mustard Greens," June, July, August, September, October, November"
Alaska,Nectarines," July, August"
Alaska,Onions," June, July, August, September, October, November"
Alaska,Parsnips," August, September, October, November"
Alaska,Pea Shoots," July, August"
Alaska,Pears," August, September"
Alaska,Peas," July, August"
Alaska,Peppers," July, August, September"
Alaska,Plums, September
Alaska,Potatoes," May, June, July, August, September, October, November"
Alaska,Pumpkin," September, October"
Alaska,Purslane," June, July, August, September"
Alaska,Quince, October
Alaska,Radicchio," January, February, March, April, October, November, December"
Alaska,Radishes," June, July, August, September, October"
Alaska,Rapini," July, August, September, October, November"
Alaska,Raspberries," July, August"
Alaska,Rhubarb," May, June, July, August, September, October"
Alaska,Rosemary," April, May, June, July, August, September"
Alaska,Rutabaga," August, September"
Alaska,Sage," April, May, June, July, August, September"
Alaska,Shallots," July, August, September, October"
Alaska,Shell Beans," July, August, September"
Alaska,Snap Peas," July, August, September"
Alaska,Snow Peas," July, August, September"
Alaska,Sorrel," June, July, August, September"
Alaska,Spinach," June, July, August, September"
Alaska,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Alaska,Strawberries," July, August, September"
Alaska,Summer Squash," July, August, September"
Alaska,Sunchokes," January, February, March, May, June, July, August"
Alaska,Tarragon," April, May, June"
Alaska,Thyme," June, July, August, September"
Alaska,Tomatillos," May, June, July, August, September, October, November"
Alaska,Tomatoes," May, June, July, August, September, October, November"
Alaska,Turnips," July, August, September, October, November"
Alaska,Watercress," April, May, June, July"
Alaska,Winter Squash," August, September, October"
Alaska,Zucchini," July, August, September"
Arizona,Apples," August, September, October, November, December"
Arizona,Apricots," May, June"
Arizona,Arugula," January, February, March, April, November, December"
Arizona,Asparagus," February, March, April, May"
Arizona,Basil," August, September, October, November"
Arizona,Beets," January, February, March, November, December"
Arizona,Black Eyed Peas," July, August, September"
Arizona,Blackberries," May, June"
Arizona,Blueberries," June, July"
Arizona,Bok Choy," January, February, March, November, December"
Arizona,Boysenberries," May, June"
Arizona,Brambles," May, June"
Arizona,Broccoli," January, February, March, October, November, December"
Arizona,Brussels Sprouts," January, February, March, December"
Arizona,Cabbage," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Cantaloupe," May, June, July, August, September, October, November"
Arizona,Cardoons," October, November, December"
Arizona,Carrots," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Cauliflower," January, February, March, April, November, December"
Arizona,Celery," January, February, March, November, December"
Arizona,Celery Root," January, February, March, November, December"
Arizona,Chard," January, February, March, April, November, December"
Arizona,Cherries, June
Arizona,Chicories," January, February, March, April, November, December"
Arizona,Chili Peppers," July, August, September"
Arizona,Chives," March, April, May, June, July, August, September, October"
Arizona,Cilantro," January, February, March, April, November, December"
Arizona,Citrus," January, February, March, April, May, June, July, November, December"
Arizona,Clementines," January, February, March, December"
Arizona,Collard Greens," January, February, March, April, November, December"
Arizona,Corn," May, June, July, August, September, October, November"
Arizona,Cucumbers," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Dates," September, October"
Arizona,Endive," January, February, March, November, December"
Arizona,Fava Beans," February, March, April"
Arizona,Figs," May, June"
Arizona,Garlic," February, March, April, May, June, July"
Arizona,Garlic Scapes," February, March, April, May, June"
Arizona,Grapefruit," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Grapes," May, June, July, August, September"
Arizona,Green Beans," May, June, September"
Arizona,Green Onions," January, February, March, April, May, September, October, November, December"
Arizona,Ground Cherries," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Horseradish," January, February, December"
Arizona,Kale," January, February, March, April, November, December"
Arizona,Kohlrabi," January, February, March, December"
Arizona,Lamb's Quarters," June, July, August, September"
Arizona,Lavender," July, August, September, October"
Arizona,Leeks," January, February, March, November, December"
Arizona,Lemons," January, February, March, August, September, October, November, December"
Arizona,Lettuce," January, February, March, April, November, December"
Arizona,Lima Beans," July, August, September, October"
Arizona,Loquats," January, February, March, April, May, June"
Arizona,Mandarins," January, February, March, August, September, October, November, December"
Arizona,Melons," May, June, July, August, September, October"
Arizona,Mint," April, May, June, July, August, September, October"
Arizona,Mushrooms," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Mustard Greens," January, February, March, April, November, December"
Arizona,Nectarines," May, June, July"
Arizona,Nopales," September, October, November, December"
Arizona,Okra," July, August, September"
Arizona,Onions," April, May, June, July, August"
Arizona,Oranges," January, February, March, November, December"
Arizona,Oregano," April, May, June, July, August, September, October"
Arizona,Parsley," January, February, March, April, October, November, December"
Arizona,Parsnips," May, June"
Arizona,Pea Shoots," April, May, June, July, August, September"
Arizona,Peaches," May, June, August"
Arizona,Pears, August
Arizona,Peas," April, May, June, July, August, September"
Arizona,Pecans," January, November, December"
Arizona,Peppers," June, July, August, September, October, November"
Arizona,Pistachios," August, September"
Arizona,Plums," June, July, August"
Arizona,Potatoes," April, May, June, July"
Arizona,Pummelo," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Pumpkin," September, October"
Arizona,Purslane," June, July, August, September"
Arizona,Quince, November
Arizona,Radicchio," January, February, March, December"
Arizona,Radishes," January, February, March, April, May, October, November, December"
Arizona,Rapini," January, February, March, December"
Arizona,Raspberries," May, June"
Arizona,Rosemary," April, May, June, July, August, September, October, November"
Arizona,Rutabaga," January, February, March, December"
Arizona,Sage," April, May, June, July, August, September, October, November"
Arizona,Salsify," January, October, November, December"
Arizona,Shallots," May, June, July, August, September, October"
Arizona,Shell Beans," July, August, September, October"
Arizona,Sorrel," January, February, March, October, November, December"
Arizona,Spinach," January, February, March, October, November, December"
Arizona,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Strawberries," February, March, April"
Arizona,Summer Squash," June, July, August, September, October"
Arizona,Sunchokes," January, February, March, May, June, July"
Arizona,Sweet Potatoes," January, February, March, December"
Arizona,Tangerines," November, December"
Arizona,Tarragon," April, May, June"
Arizona,Thyme," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Tomatillos," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Tomatoes," January, February, March, April, May, June, July, August, September, October, November, December"
Arizona,Turnips," January, February, March, April, November, December"
Arizona,Watercress," April, May, June, July"
Arizona,Watermelon," May, June, July, August, September, October, November"
Arizona,Winter Squash," September, October, November"
Arizona,Zucchini," April, May, June, July, August, September"
Arkansas,Apples," July, August, September, October"
Arkansas,Arugula," April, May, June, July, August"
Arkansas,Asian Pears," August, September, October"
Arkansas,Asparagus," April, May"
Arkansas,Basil," May, June, July, August, September, October"
Arkansas,Beets," April, May, November, December"
Arkansas,Black Eyed Peas," April, May, June, July"
Arkansas,Blackberries," June, July"
Arkansas,Blueberries," June, July"
Arkansas,Bok Choy," January, May, June, November, December"
Arkansas,Boysenberries," June, July"
Arkansas,Brambles," June, July"
Arkansas,Broccoli," May, June, July, November, December"
Arkansas,Brussels Sprouts," October, November, December"
Arkansas,Cabbage," January, May, June, November, December"
Arkansas,Cantaloupe," July, August, September, October"
Arkansas,Cardoons," October, November, December"
Arkansas,Carrots," May, June, November"
Arkansas,Cauliflower, May
Arkansas,Celery," January, February, March, November, December"
Arkansas,Celery Root," January, February, March, November, December"
Arkansas,Chard," April, November"
Arkansas,Cherries," June, July"
Arkansas,Chicories," January, February, March, November, December"
Arkansas,Chili Peppers," June, July, August, September"
Arkansas,Chives," March, April, May, June, July, August, September, October"
Arkansas,Cilantro," January, February, March, April, November, December"
Arkansas,Collard Greens," January, February, March, April, May, November, December"
Arkansas,Corn," June, July, August, September"
Arkansas,Cucumbers," May, June, July, August, September, October"
Arkansas,Edamame," June, July, August, September"
Arkansas,Eggplant," June, July, August, September, October"
Arkansas,Endive," January, February, March, November, December"
Arkansas,Fava Beans," February, March, April, May"
Arkansas,Fennel," January, February, March, April, October, November, December"
Arkansas,Garlic," May, June, July"
Arkansas,Garlic Scapes, June
Arkansas,Gooseberries," June, July"
Arkansas,Grapes," July, August, September"
Arkansas,Green Beans," June, July, August, September, October"
Arkansas,Green Onions," January, February, March, April, May, June"
Arkansas,Ground Cherries," May, June, July, August, September, October"
Arkansas,Horseradish," January, February, December"
Arkansas,Kale," March, April, November, December"
Arkansas,Kohlrabi," January, February, March, April, November, December"
Arkansas,Lamb's Quarters," March, April, May, June, July, August, September, October, November"
Arkansas,Lavender," July, August, September, October"
Arkansas,Leeks," April, May, June, July, August"
Arkansas,Lettuce," April, May, June, July, August"
Arkansas,Lima Beans," July, August, September, October"
Arkansas,Melons," June, July, August, September"
Arkansas,Mint," April, May, June, July, August, September, October"
Arkansas,Morels," March, April, May"
Arkansas,Mushrooms," March, April, May, June, July, August, September, October"
Arkansas,Mustard Greens," January, February, March, April, May, November, December"
Arkansas,Nectarines," June, July, August"
Arkansas,Nettles," March, April"
Arkansas,Okra," June, July, August, September, October"
Arkansas,Onions," May, June"
Arkansas,Oregano," April, May, June, July, August, September, October"
Arkansas,Parsley," May, June, July, August, September"
Arkansas,Parsnips," January, February, March, November, December"
Arkansas,Pawpaw," August, September"
Arkansas,Pea Shoots," April, May"
Arkansas,Peaches," June, July, August"
Arkansas,Pears," August, September, October, November"
Arkansas,Peas," April, May, November, December"
Arkansas,Pecans," January, February, March, April, May, June, July, August, September, October, November, December"
Arkansas,Peppers," June, July, August, September, October"
Arkansas,Plums," June, July, August"
Arkansas,Potatoes," May, June, July"
Arkansas,Pumpkin," September, October, November"
Arkansas,Purslane," March, April, May, June, July, August, September, October, November"
Arkansas,Radicchio," January, February, March, November, December"
Arkansas,Radishes," March, April, May, June, November, December"
Arkansas,Rapini," January, May, June, October, November, December"
Arkansas,Raspberries, June
Arkansas,Rhubarb," February, March, April, May, June"
Arkansas,Rosemary," April, May, June, July, August, September, October"
Arkansas,Rutabaga," September, October, November, December"
Arkansas,Sage," April, May, June, July, August, September, October"
Arkansas,Salsify," January, October, November, December"
Arkansas,Shallots," June, July"
Arkansas,Shell Beans," July, August, September, October"
Arkansas,Snap Peas," April, May, June, July"
Arkansas,Snow Peas," April, May, June, July"
Arkansas,Sorrel," April, May, June, July, August, September, October"
Arkansas,Spinach," March, April, November, December"
Arkansas,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Arkansas,Strawberries," May, June"
Arkansas,Summer Squash," June, July, August"
Arkansas,Sunchokes," January, February, June, July"
Arkansas,Sweet Potatoes," August, September, October"
Arkansas,Tarragon," April, May, June"
Arkansas,Thyme," April, May, June, July, August, September, October"
Arkansas,Tomatillos," May, June, July, August, September, October"
Arkansas,Tomatoes," May, June, July, August, September, October"
Arkansas,Turnips," January, February, March, April, May, November, December"
Arkansas,Watercress," April, May, June, July"
Arkansas,Watermelon," July, August, September"
Arkansas,Winter Squash," August, September, October, November, December"
Arkansas,Zucchini," June, July, August, September"
Northern California,Apples," August, September, October, November"
Northern California,Apricots," May, June, July"
Northern California,Artichokes," March, April, May, June, September, October, November, December"
Northern California,Arugula," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Asian Pears," January, February, March, April, September, October, November, December"
Northern California,Asparagus," February, March, April, May, June"
Northern California,Avocados," February, March, April, May, June, July, August, September, October, November"
Northern California,Beets," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Blackberries," May, June, July, August, September, October"
Northern California,Blueberries," May, June, July, August"
Northern California,Bok Choy," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Boysenberries," June, July"
Northern California,Brambles," June, July, August"
Northern California,Broccoli," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Brussels Sprouts," January, February, March, April, May, September, October, November, December"
Northern California,Burdock," July, August, September, October, November, December"
Northern California,Cabbage," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Cactus Pears," May, June, July, August, September, October, November"
Northern California,Cantaloupe," May, June, July, August, September, October, November"
Northern California,Cardoons," January, February, March, April, May, June, November, December"
Northern California,Carrots," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Cauliflower," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Celery," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Celery Root," April, May, June, July, August, September, October, November, December"
Northern California,Chard," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Cherimoyas," January, February, March, April, May, November, December"
Northern California,Cherries," April, May, June, July"
Northern California,Chestnuts," September, October, November, December"
Northern California,Chickpeas," April, May"
Northern California,Chicories," January, February, March, April, May, October, November, December"
Northern California,Chives," March, April, May, June, July, August, September, October, November"
Northern California,Cilantro," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Citrus," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Clementines," January, February, December"
Northern California,Collard Greens," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Corn," June, July, August, September, October"
Northern California,Cucumbers," April, May, June, July, August, September, October, November, December"
Northern California,Dates," September, October, November"
Northern California,Edamame," September, October, November"
Northern California,Eggplant," June, July, August, September, October"
Northern California,Endive," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Fava Beans," March, April, May, June, July"
Northern California,Fennel," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Fiddleheads," March, April, May"
Northern California,Figs," June, July, September, October"
Northern California,Garlic," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Garlic Scapes," February, March, April, May, June"
Northern California,Ginger," January, February, August, September, October, November, December"
Northern California,Gooseberries," June, July, August"
Northern California,Grapefruit," January, February, March, April, December"
Northern California,Grapes," July, August, September, October, November, December"
Northern California,Green Beans," June, July, August, September"
Northern California,Green Onions," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Guava," November, December"
Northern California,Horseradish," February, March, April, May, June, July, August, September, October, November"
Northern California,Kale," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Kiwi," January, February, March, September, October, November, December"
Northern California,Kohlrabi," January, February, March, April, November, December"
Northern California,Kumquats," January, February, March, April"
Northern California,Lamb's Quarters," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Lavender," July, August, September, October"
Northern California,Leeks," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Lemongrass," June, July, August, September, October, November"
Northern California,Lemons," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Lettuce," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Limes," January, February, March, April, October, November, December"
Northern California,Loquats," May, June"
Northern California,Mandarins," January, February, March, April, May, November, December"
Northern California,Mangoes," June, July, August"
Northern California,Melons," June, July, August, September, October"
Northern California,Mint," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Moringa," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Mushrooms," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Mustard Greens," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Nectarines," May, June, July, August, September, October"
Northern California,Nettles," January, February, March, April, May, June, July, December"
Northern California,Nopales," May, June, July, August, September, October"
Northern California,Okra," June, July, August, September, October, November"
Northern California,Olives," August, September, October, November"
Northern California,Onions," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Orach," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Oranges," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Oregano," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Parsley," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Parsnips," January, February, March, April, October, November, December"
Northern California,Peaches," May, June, July, August, September, October"
Northern California,Peanuts," July, August"
Northern California,Pears," January, February, March, April, August, September, October, November"
Northern California,Peas," April, May, June, July, August, September, October, November"
Northern California,Pecans," September, October, November"
Northern California,Peppers," May, June, July, August, September, October, November, December"
Northern California,Persimmons," January, February, March, September, October, November, December"
Northern California,Pigeon Peas," September, October, November, December"
Northern California,Pistachios," September, October, November"
Northern California,Plums," May, June, July, August, September, October, November"
Northern California,Pomegranates," September, October, November, December"
Northern California,Potatoes," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Pummelo," January, February, March, April, November, December"
Northern California,Purslane," April, May, June, July, August, September, October, November"
Northern California,Quince," September, October, November"
Northern California,Radicchio," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Radishes," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Rapini," January, February, March, April, May, June, September, October, November, December"
Northern California,Raspberries," May, June, July, August, September, October, November"
Northern California,Rhubarb," April, May, June, July, August, September, October, November"
Northern California,Rosemary," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Rutabaga," January, February, March, April, October, November, December"
Northern California,Sage," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Salsify," August, September, October, November, December"
Northern California,Shallots," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Shell Beans," August, September, October"
Northern California,Sorrel," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Spinach," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Strawberries," March, April, May, June, July, August, September, October, November"
Northern California,Summer Squash," June, July, August, September, October"
Northern California,Sunchokes," January, February, March, April, September, October, November, December"
Northern California,Sweet Potatoes," September, October, November, December"
Northern California,Tangerines," January, February, March, November, December"
Northern California,Tarragon," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Thyme," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Tomatillos," June, July, August, September, October, November"
Northern California,Tomatoes," April, May, June, July, August, September, October, November"
Northern California,Turnips," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Watercress," January, February, March, April, May, June, July, August, September, October, November, December"
Northern California,Watermelon," July, August, September, October, November"
Northern California,White Sapote," January, February, March"
Northern California,Winter Squash," October, November, December"
Northern California,Yacon," November, December"
Southern California,Apples," July, August, September, October, November, December"
Southern California,Apricots," March, April, May, June"
Southern California,Artichokes," February, March, April, May, June"
Southern California,Asian Pears," October, November"
Southern California,Asparagus," February, March, April, May"
Southern California,Avocados," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Basil," April, May, June, July, August, September, October, November, December"
Southern California,Beets," January, February, March, April, May, June, July, October, November, December"
Southern California,Blackberries," June, July, August"
Southern California,Boysenberries," June, July, August"
Southern California,Brambles," June, July, August"
Southern California,Broccoli," January, February, March, April, May, June, October, November, December"
Southern California,Brussels Sprouts," January, February, March, December"
Southern California,Cabbage," January, February, March, April, May, June, October, November, December"
Southern California,Cantaloupe," May, June, July, August, September, October, November"
Southern California,Carrots," January, February, March, April, May, September, October, November, December"
Southern California,Cauliflower," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Celery," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Chard," January, February, March, April, May, November, December"
Southern California,Cherimoyas," January, February, March, April, May, June, November, December"
Southern California,Cherries," April, May, June, July"
Southern California,Chickpeas," April, May"
Southern California,Chicories," January, February, March, April, May, October, November, December"
Southern California,Chives," March, April, May, June, July, August, September, October, November"
Southern California,Cilantro," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Citrus," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Clementines," January, February, December"
Southern California,Collard Greens," January, February, March, April, May, December"
Southern California,Corn," May, June, July, August, September, October"
Southern California,Cucumbers," April, May, June, July, August, September, October"
Southern California,Dates," September, October, November, December"
Southern California,Edamame," September, October, November"
Southern California,Eggplant," May, June, July, August, September, October"
Southern California,Fiddleheads," March, April, May"
Southern California,Figs," June, July, August, September, October"
Southern California,Gooseberries," June, July, August"
Southern California,Grapefruit," January, February, March, April, May, June, July, August, September"
Southern California,Grapes," June, July, August, September, October, November"
Southern California,Green Beans," March, April, May, June, July, August, September, October, November"
Southern California,Green Onions," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Guava," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Kale," January, February, March, April, May, December"
Southern California,Kiwi," January, February, March, April, October, November, December"
Southern California,Kumquats," January, February, March, April, November, December"
Southern California,Lavender," July, August, September, October"
Southern California,Lemongrass," June, July, August, September, October, November"
Southern California,Lemons," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Lettuce," January, February, March, April, May, June, October, November, December"
Southern California,Limes," January, February, March, April, October, November, December"
Southern California,Longan," July, August, September, October"
Southern California,Loquats," April, May, June"
Southern California,Lychee," August, September"
Southern California,Malabar Spinach," July, August"
Southern California,Mandarins," January, February, March, November, December"
Southern California,Mangoes," June, July, August"
Southern California,Melons," May, June, July, August, September, October, November"
Southern California,Mint," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Moringa," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Okra," May, June, July, August, September, October"
Southern California,Onions," April, May, June, July, August, September, October, November"
Southern California,Orach," January, February, March, October, November, December"
Southern California,Oranges," January, February, March, April, November, December"
Southern California,Oregano," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Parsley," January, February, March, April, May, June, July, August, September, October, November, December"
Southern California,Passionfruit," June, July, August, September, October, November, December"
Southern California,Peaches," May, June, July, August, September, October"
